,ds,yhat,yhat_lower,yhat_upper
0,1979-01-01,4.101813390368404,2.2864342122056804,5.8487241427575185
1,1979-01-02,4.065860158085644,2.3074126590043,5.889561331051836
2,1979-01-03,4.082953108046055,2.3915635980570404,5.814393355717895
3,1979-01-04,4.044286032225342,2.2978777981464376,5.709016918779099
4,1979-01-05,3.9670963276687683,2.271865090639301,5.767437220060823
5,1979-01-06,3.874664740156919,2.100427361722171,5.56266339814534
6,1979-01-07,3.883805186382653,2.153954881007342,5.663312152493622
7,1979-01-08,3.875105135964774,2.174557712866014,5.559404757637588
8,1979-01-09,3.8473173102042137,2.0450359059605776,5.496136336862575
9,1979-01-10,3.8754313090079062,2.1856571976447037,5.601885096537293
10,1979-01-11,3.850503281581103,2.027956269090094,5.523386043184499
11,1979-01-12,3.7895546817586716,2.1208997375406775,5.5820755772038275
12,1979-01-13,3.715576812054347,2.000636037952119,5.609946622930724
13,1979-01-14,3.7450275247429525,2.0092358418887426,5.515505473037828
14,1979-01-16,3.753027118522528,2.018903802369421,5.445449345660525
15,1979-01-17,3.8043609274938017,1.9629583530630863,5.620039105963185
16,1979-01-18,3.8026198000082116,2.103904346084666,5.482825541693793
17,1979-01-19,3.7642992207413393,2.140334143850142,5.678772757179804
18,1979-01-20,3.7118714062451774,2.0454677179908938,5.499054109025609
19,1979-01-22,3.792287739576815,2.1450168910713354,5.619184086935164
20,1979-01-23,3.8027246802376897,2.1226709715552943,5.620064211897893
21,1979-01-24,3.8667525917286056,2.105915043973137,5.6515369792815235
22,1979-01-25,3.874635349228182,2.031552490840909,5.561529247200488
23,1979-01-26,3.8426782761806395,2.0219271921393953,5.43219973360573
24,1979-01-27,3.793254959827979,2.1791606179603806,5.45272694895489
25,1979-01-28,3.8423240691643805,2.0213306157986763,5.700688986130803
26,1979-01-29,3.8696959343273587,2.104018869177056,5.631718481592815
27,1979-01-30,3.873448927823005,2.1110413998699564,5.822092767701125
28,1979-01-31,3.9280235675944013,2.158633008405596,5.582034747516092
29,1979-02-01,3.924071810188763,2.0921074438711766,5.645415724835931
30,1979-02-02,3.878371989751389,2.1275639494360727,5.658404340352617
31,1979-02-03,3.813845600770774,2.069025920530753,5.578746749001293
32,1979-02-04,3.847061880678373,2.0330253148246142,5.590419135741617
33,1979-02-05,3.858490228942804,2.2223200708371653,5.645237091060504
34,1979-02-06,3.846900835809821,2.156771621791186,5.584986454968735
35,1979-02-08,3.8714707649362845,1.943328427496165,5.542471149547503
36,1979-02-09,3.816451542543035,2.093111666258968,5.5494440598085895
37,1979-02-10,3.745953101938073,1.9056921624504832,5.52458836226103
38,1979-02-11,3.7771366244608835,2.1348595599375697,5.53589277313157
39,1979-02-12,3.790991548991947,1.9639854071400216,5.492051050192471
40,1979-02-13,3.7867212724504817,1.8943490703834251,5.4591762592385145
41,1979-02-14,3.8398072293014645,2.043306345341155,5.503730717869544
42,1979-02-15,3.841829596268653,2.0244158319458787,5.701870247882018
43,1979-02-16,3.8103558301567944,2.1730327923651673,5.54142414139554
44,1979-02-17,3.768933943144164,2.02677605907115,5.4723711007761615
45,1979-02-18,3.834577113375752,2.171309642700011,5.459306355057576
46,1979-02-19,3.888000227059564,2.1830234242314726,5.616262392574345
47,1979-02-21,4.0295716397743035,2.264936080488024,5.549642687599693
48,1979-02-22,4.083647234526844,2.424201171821015,5.791317379904503
49,1979-02-23,4.107088421498469,2.3619820235512714,5.760481162276427
50,1979-02-24,4.1226484138395785,2.469480244832756,5.858267679266063
51,1979-02-25,4.2464825745513,2.4761341373025854,5.9638346932898445
52,1979-02-27,4.456289699165783,2.713869222864843,6.13837922265803
53,1979-02-28,4.614177533364039,2.8081319078994387,6.461652946206389
54,1979-03-01,4.722111555688727,3.0888788053671448,6.353720329739514
55,1979-03-02,4.79606622658724,3.1318318441656285,6.576620952717364
56,1979-03-03,4.857973643243734,3.1393745026545985,6.68211490239239
57,1979-03-04,5.023243550575095,3.406624321916442,6.803036267003536
58,1979-03-05,5.171035306624799,3.368154426241567,6.845222967452636
59,1979-03-06,5.298681780072035,3.553372014803298,7.269098042812867
60,1979-03-07,5.4797929907067084,3.7666365774215764,7.247038151466505
61,1979-03-08,5.604116807375644,3.902851828852833,7.205737911153372
62,1979-03-09,5.687466963699982,3.985366925225568,7.358151691146637
63,1979-03-10,5.7517543562490125,4.08645081545588,7.522071919204813
64,1979-03-11,5.912507314978122,4.192168647217584,7.7866589178102465
65,1979-03-12,6.049140588740612,4.30311847395825,7.848762013686997
66,1979-03-13,6.159373103829788,4.398325410160044,7.84947022132466
67,1979-03-14,6.317322465536191,4.492219312548916,7.904692221863497
68,1979-03-15,6.413353750991524,4.66824361832319,8.200905066179232
69,1979-03-16,6.463993155804277,4.745482600530544,8.15297191204684
70,1979-03-17,6.491942821829473,4.6434629227846145,8.268771326015344
71,1979-03-18,6.613582949440903,4.879327400613393,8.360908611640175
72,1979-03-19,6.709221390719466,5.072140407742144,8.446082946077631
73,1979-03-20,6.777491263290591,5.110287059039956,8.566241128554292
74,1979-03-21,6.893425052168234,5.177551487819463,8.56892600746556
75,1979-03-22,6.948283247923573,5.254929473216936,8.58482362788019
76,1979-03-23,6.959448573456606,5.082088567078938,8.694506796406097
77,1979-03-24,6.950422593610912,5.264771749212955,8.658420511994388
78,1979-03-25,7.038311243084173,5.307274753649096,8.85885705089269
79,1979-03-26,7.104059855371876,5.4329966962035625,8.904452520422677
80,1979-03-27,7.146838563370676,5.256268534325778,8.827723380228953
81,1979-03-28,7.242106806317652,5.564806446954593,8.935880369021438
