,ds,yhat,yhat_lower,yhat_upper
0,1979-01-01,3.7976293243082946,2.0476835953185915,5.536612402018252
1,1979-01-02,3.7834721803016,2.131913823490404,5.474253073035129
2,1979-01-03,3.832599518503762,2.1515516013476463,5.524038164841684
3,1979-01-04,3.8032125246577007,2.15718190451054,5.588178509393395
4,1979-01-05,3.75805598502902,2.01714300739702,5.451007345224126
5,1979-01-06,3.7008312999290913,1.9574627824070054,5.430046406432092
6,1979-01-07,3.7568256425589244,2.073651487184035,5.468836803421668
7,1979-01-08,3.7781433901980845,2.0616855943780967,5.446315140602836
8,1979-01-09,3.772656089510842,2.014884577518834,5.514776531042698
9,1979-01-10,3.8300125857230336,1.9931668395018538,5.561429411012074
10,1979-01-11,3.8084397018113503,2.038019704298021,5.629146366731682
11,1979-01-12,3.7706945816335136,1.966188217617664,5.591142793715904
12,1979-01-13,3.7204753112698397,2.068291096365685,5.596763908877467
13,1979-01-14,3.7830484153000103,1.9629673749587921,5.498855308573647
14,1979-01-16,3.8105831823638567,1.9245887967569117,5.435346869036216
15,1979-01-17,3.8729346157516567,2.161631353206985,5.512126435143843
16,1979-01-18,3.8556719699196815,2.2429011268494685,5.598358585224705
17,1979-01-19,3.8214520050889664,2.1238302655321433,5.6789064161626905
18,1979-01-20,3.773864668094645,2.037876537701555,5.502898684234531
19,1979-01-22,3.866011375986,2.096313450976636,5.588894618949152
20,1979-01-23,3.865417438494214,2.180998192421775,5.535172460207369
21,1979-01-24,3.9257739180088445,2.319800453122007,5.56558098986916
22,1979-01-25,3.905155825835142,2.136608693775487,5.61398028062267
23,1979-01-26,3.866184703472843,2.2410617928877823,5.480685618396645
24,1979-01-27,3.812449302989161,2.0565548106316696,5.539284219198078
25,1979-01-28,3.86914337718229,1.9990944903720518,5.592238118449411
26,1979-01-29,3.8883064545792827,2.1970471858613605,5.552620181762467
27,1979-01-30,3.877783562591608,2.14067984259,5.699373947365958
28,1979-01-31,3.927245191824536,2.2758333453241764,5.787215135796492
29,1979-02-01,3.894997522435215,2.186998362930905,5.672079177025036
30,1979-02-02,3.8439436439204586,2.084024716798162,5.622351952074362
31,1979-02-03,3.778001995001543,2.0468780791270436,5.457405846137746
32,1979-02-04,3.822740240592858,2.0736684704775326,5.597180935296886
33,1979-02-05,3.8306104692869294,2.111315672837978,5.555902679320211
34,1979-02-06,3.8099017349257114,2.076943638793283,5.476425368507934
35,1979-02-08,3.81194509809448,1.9894787193661587,5.611440132295351
36,1979-02-09,3.7568673580199157,2.015816864528658,5.517807591685897
37,1979-02-10,3.6899075366632452,2.013164907763988,5.403823863614232
38,1979-02-11,3.7370814031275916,1.9560978537829683,5.370884354282214
39,1979-02-12,3.7512534791417886,2.1454193952284752,5.488039995017216
40,1979-02-13,3.7410768698351733,2.0414850021515947,5.479867153816695
41,1979-02-14,3.7969922941940437,2.0806660340611707,5.452256794939502
42,1979-02-15,3.7780168583026503,2.1630817510805693,5.548382917767146
43,1979-02-16,3.747683865263017,2.0666945524553255,5.459230257271665
44,1979-02-17,3.7104404764716206,1.9135163937411128,5.441608329683373
45,1979-02-18,3.7922620387260917,2.00890169720893,5.444109114696324
46,1979-02-19,3.845869550756591,2.1221564555481125,5.542254155715269
47,1979-02-21,3.9837395087105962,2.4352646649470353,5.663744645261815
48,1979-02-22,4.016645912139126,2.187947397938067,5.683646730432208
49,1979-02-23,4.041362152074893,2.3765918366340797,5.79387620994304
50,1979-02-24,4.061687228043366,2.2766038885970317,5.779970649981288
51,1979-02-25,4.2028674536874355,2.4564853835041656,5.890800368653303
52,1979-02-27,4.41111617466286,2.538588472894083,6.141951393608025
53,1979-02-28,4.574933381282852,2.822903057924101,6.324382261112614
54,1979-03-01,4.6659272195076715,2.8700348900604733,6.443630577471212
55,1979-03-02,4.746163510914332,3.0409795310153958,6.593446658510599
56,1979-03-03,4.818549301665542,3.0626521411600405,6.522312712632907
57,1979-03-04,5.007476870221087,3.1278899138716665,6.784956539408651
58,1979-03-05,5.164072893256643,3.388747672729056,6.931675407531737
59,1979-03-06,5.295168650267012,3.4795678468177713,7.0373560835025994
60,1979-03-07,5.489332435236072,3.7326075904584837,7.1490598820542735
61,1979-03-08,5.603694031171303,3.8722180700657405,7.457766478774646
62,1979-03-09,5.699921775470416,3.9527685907034584,7.319744711476676
63,1979-03-10,5.780658204070855,4.0315826544447395,7.566769222311438
64,1979-03-11,5.970172221183164,4.175819056422473,7.715763346362989
65,1979-03-12,6.119613380965412,4.329732395862723,7.9358888735240205
66,1979-03-13,6.235983985988308,4.504241473270702,7.958057825646953
67,1979-03-14,6.408170073302204,4.655391418336983,8.065157259237303
68,1979-03-15,6.4937611280217205,4.837685091977439,8.08784621063135
69,1979-03-16,6.555019119725401,4.763959249104227,8.256713302043908
70,1979-03-17,6.595302999472508,4.796791413257398,8.325339821751964
71,1979-03-18,6.739706833723223,5.15493223455302,8.424074373572324
72,1979-03-19,6.840297465598764,5.110291011392104,8.626819671412205
73,1979-03-20,6.905067779939964,5.245731574607274,8.637592193313935
74,1979-03-21,7.023947073176915,5.256350103134769,8.728448455311835
75,1979-03-22,7.055598846166283,5.306593735612533,8.851995902857821
76,1979-03-23,7.063367129640838,5.346922937012819,8.884511927356122
77,1979-03-24,7.051678017557634,5.315408093791237,8.712789888801147
78,1979-03-25,7.146655131569496,5.468767614001351,9.02388187355184
79,1979-03-26,7.201335449426264,5.37846083669163,9.007697337547263
80,1979-03-27,7.224602097579306,5.422417267033389,9.010902347729287
81,1979-03-28,7.307176100682484,5.605626014308959,8.94983537503344
